seed,position,intensity,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep,career_output_sum,decisive_moments,clubs_served,longest_club_tenure,winning,accolades,output,longevity,decisive,loyalty,icon,head_to_head,score_Trophy Cabinet,score_Eye-Test Romantics,score_Stats Purists,score_Loyalty Traditionalists
700103,Forward,Medium,64,87,85,93,20,39,167,576,1,0,48,50,70,False,50,50,12612,0,1,20,20,5,34,100,0,100,50,50,26,23,43,59
700096,Forward,High,64,92,91,95,20,39,194,556,1,0,47,50,70,False,50,50,10758,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700097,Midfielder,Low,64,84,82,97,20,39,26,558,1,0,46,50,70,False,50,50,10731,0,1,20,20,5,32,100,0,100,50,50,25,22,43,59
700098,Midfielder,Medium,64,87,83,94,20,39,21,564,1,0,46,50,70,False,50,50,12016,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700099,Midfielder,High,64,88,84,92,20,39,28,565,2,0,46,50,70,False,50,50,11801,0,1,20,40,10,33,100,0,100,50,50,33,25,46,62
700108,Defender,Low,64,83,77,96,20,39,57,567,3,0,47,50,70,False,50,50,12086,0,1,20,60,15,34,100,0,100,50,50,41,29,49,66
700109,Defender,Medium,64,86,83,94,20,39,43,566,2,0,47,50,70,False,50,50,11960,0,1,20,40,10,34,100,0,100,50,50,33,26,46,62
700110,Defender,High,64,92,89,96,20,39,57,567,2,0,47,50,70,False,50,50,13078,0,1,20,40,10,35,100,0,100,50,50,34,26,47,63
700111,Forward,Low,64,83,81,94,20,39,161,567,2,0,47,50,70,False,50,50,12944,0,1,20,40,10,34,100,0,100,50,50,33,26,46,62
700104,Forward,Medium,64,86,84,92,20,39,155,569,1,0,46,50,70,False,50,50,12367,0,1,20,20,5,33,100,0,100,50,50,26,22,43,59
700105,Forward,High,64,92,90,95,20,39,188,572,3,0,46,50,70,False,50,50,12309,0,1,20,60,15,33,100,0,100,50,50,41,28,48,66
